method,prompt_count,next_token_top1_uplift_vs_full_live,cont_match_h1_uplift_vs_full,cont_match_h4_uplift_vs_full,cont_match_h8_uplift_vs_full,cont_match_h16_uplift_vs_full,split,experiment_site,site_layer,no_patch_h1,same_site_oracle_h1,stride_oracle_h1,delta_h1,closure_same_site_h1,closure_stride_h1,no_patch_h4,same_site_oracle_h4,stride_oracle_h4,delta_h4,closure_same_site_h4,closure_stride_h4,no_patch_h8,same_site_oracle_h8,stride_oracle_h8,delta_h8,closure_same_site_h8,closure_stride_h8,no_patch_h16,same_site_oracle_h16,stride_oracle_h16,delta_h16,closure_same_site_h16,closure_stride_h16
low_to_full_no_patch,40,0.0,0.0,0.00625,0.009375,0.0125,pilot,layer16,16,0.0,0.0,0.2,0.0,0.0,0.0,0.00625,0.0125,0.08125,0.0,0.0,0.0,0.009375,0.021875,0.046875,0.0,0.0,0.0,0.0125,0.0171875,0.03125,0.0,0.0,0.0
identity,40,0.0,0.0,0.00625,0.009375,0.0125,pilot,layer16,16,0.0,0.0,0.2,0.0,0.0,0.0,0.00625,0.0125,0.08125,0.0,0.0,0.0,0.009375,0.021875,0.046875,0.0,0.0,0.0,0.0125,0.0171875,0.03125,0.0,0.0,0.0
broad_mlp,40,0.0,0.0,0.0125,0.021875,0.0171875,pilot,layer16,16,0.0,0.0,0.2,0.0,0.0,0.0,0.00625,0.0125,0.08125,0.00625,1.0,0.08333333333333334,0.009375,0.021875,0.046875,0.012499999999999999,1.0,0.3333333333333333,0.0125,0.0171875,0.03125,0.004687500000000001,1.0,0.25000000000000006
targeted_mlp,40,0.0,0.0,0.00625,0.009375,0.0109375,pilot,layer16,16,0.0,0.0,0.2,0.0,0.0,0.0,0.00625,0.0125,0.08125,0.0,0.0,0.0,0.009375,0.021875,0.046875,0.0,0.0,0.0,0.0125,0.0171875,0.03125,-0.0015625000000000014,-0.3333333333333336,-0.08333333333333341
oracle_layer16,40,0.0,0.0,0.0125,0.021875,0.0171875,pilot,layer16,16,0.0,0.0,0.2,0.0,0.0,0.0,0.00625,0.0125,0.08125,0.00625,1.0,0.08333333333333334,0.009375,0.021875,0.046875,0.012499999999999999,1.0,0.3333333333333333,0.0125,0.0171875,0.03125,0.004687500000000001,1.0,0.25000000000000006
oracle_layer34,40,0.25,0.25,0.06875,0.0375,0.028125,pilot,layer16,16,0.0,0.0,0.2,0.25,0.0,1.25,0.00625,0.0125,0.08125,0.0625,10.0,0.8333333333333334,0.009375,0.021875,0.046875,0.028124999999999997,2.25,0.75,0.0125,0.0171875,0.03125,0.015625,3.333333333333333,0.8333333333333334
oracle_stride,40,0.2,0.2,0.08125,0.046875,0.03125,pilot,layer16,16,0.0,0.0,0.2,0.2,0.0,1.0,0.00625,0.0125,0.08125,0.075,11.999999999999998,1.0,0.009375,0.021875,0.046875,0.0375,3.0,1.0,0.0125,0.0171875,0.03125,0.01875,3.999999999999999,1.0
low_to_full_no_patch,40,0.0,0.0,0.00625,0.009375,0.0125,pilot,layer34,34,0.0,0.25,0.2,0.0,0.0,0.0,0.00625,0.06875,0.08125,0.0,0.0,0.0,0.009375,0.0375,0.046875,0.0,0.0,0.0,0.0125,0.028125,0.03125,0.0,0.0,0.0
identity,40,0.0,0.0,0.00625,0.009375,0.0125,pilot,layer34,34,0.0,0.25,0.2,0.0,0.0,0.0,0.00625,0.06875,0.08125,0.0,0.0,0.0,0.009375,0.0375,0.046875,0.0,0.0,0.0,0.0125,0.028125,0.03125,0.0,0.0,0.0
broad_mlp,40,0.0,0.0,0.00625,0.009375,0.0109375,pilot,layer34,34,0.0,0.25,0.2,0.0,0.0,0.0,0.00625,0.06875,0.08125,0.0,0.0,0.0,0.009375,0.0375,0.046875,0.0,0.0,0.0,0.0125,0.028125,0.03125,-0.0015625000000000014,-0.10000000000000009,-0.08333333333333341
