method,prompt_count,next_token_top1_uplift_vs_full_live,cont_match_h1_uplift_vs_full,cont_match_h4_uplift_vs_full,cont_match_h8_uplift_vs_full,cont_match_h16_uplift_vs_full,split,experiment_site,site_layer,no_patch_h1,same_site_oracle_h1,stride_oracle_h1,delta_h1,closure_same_site_h1,closure_stride_h1,no_patch_h4,same_site_oracle_h4,stride_oracle_h4,delta_h4,closure_same_site_h4,closure_stride_h4,no_patch_h8,same_site_oracle_h8,stride_oracle_h8,delta_h8,closure_same_site_h8,closure_stride_h8,no_patch_h16,same_site_oracle_h16,stride_oracle_h16,delta_h16,closure_same_site_h16,closure_stride_h16
low_to_full_no_patch,40,0.0,0.0,0.00625,0.00625,0.003125,heldout,layer16,16,0.0,0.0,0.0,0.0,0.0,0.0,0.00625,0.0,0.0,0.0,-0.0,-0.0,0.00625,0.003125,0.003125,0.0,-0.0,-0.0,0.003125,0.0046875,0.0015625,0.0,0.0,-0.0
identity,40,0.0,0.0,0.00625,0.00625,0.003125,heldout,layer16,16,0.0,0.0,0.0,0.0,0.0,0.0,0.00625,0.0,0.0,0.0,-0.0,-0.0,0.00625,0.003125,0.003125,0.0,-0.0,-0.0,0.003125,0.0046875,0.0015625,0.0,0.0,-0.0
broad_mlp,40,0.0,0.0,0.0,0.00625,0.003125,heldout,layer16,16,0.0,0.0,0.0,0.0,0.0,0.0,0.00625,0.0,0.0,-0.00625,1.0,1.0,0.00625,0.003125,0.003125,0.0,-0.0,-0.0,0.003125,0.0046875,0.0015625,0.0,0.0,-0.0
targeted_mlp,40,0.0,0.0,0.00625,0.003125,0.003125,heldout,layer16,16,0.0,0.0,0.0,0.0,0.0,0.0,0.00625,0.0,0.0,0.0,-0.0,-0.0,0.00625,0.003125,0.003125,-0.003125,1.0,1.0,0.003125,0.0046875,0.0015625,0.0,0.0,-0.0
oracle_layer16,40,0.0,0.0,0.0,0.003125,0.0046875,heldout,layer16,16,0.0,0.0,0.0,0.0,0.0,0.0,0.00625,0.0,0.0,-0.00625,1.0,1.0,0.00625,0.003125,0.003125,-0.003125,1.0,1.0,0.003125,0.0046875,0.0015625,0.0015624999999999997,1.0,-0.9999999999999998
oracle_layer34,40,0.275,0.275,0.06875,0.034375,0.01875,heldout,layer16,16,0.0,0.0,0.0,0.275,0.0,0.0,0.00625,0.0,0.0,0.0625,-10.0,-10.0,0.00625,0.003125,0.003125,0.028125000000000004,-9.0,-9.0,0.003125,0.0046875,0.0015625,0.015625,10.000000000000002,-10.0
oracle_stride,40,0.0,0.0,0.0,0.003125,0.0015625,heldout,layer16,16,0.0,0.0,0.0,0.0,0.0,0.0,0.00625,0.0,0.0,-0.00625,1.0,1.0,0.00625,0.003125,0.003125,-0.003125,1.0,1.0,0.003125,0.0046875,0.0015625,-0.0015625,-1.0000000000000002,1.0
low_to_full_no_patch,40,0.0,0.0,0.00625,0.00625,0.003125,heldout,layer34,34,0.0,0.275,0.0,0.0,0.0,0.0,0.00625,0.06875,0.0,0.0,0.0,-0.0,0.00625,0.034375,0.003125,0.0,0.0,-0.0,0.003125,0.01875,0.0015625,0.0,0.0,-0.0
identity,40,0.0,0.0,0.00625,0.00625,0.003125,heldout,layer34,34,0.0,0.275,0.0,0.0,0.0,0.0,0.00625,0.06875,0.0,0.0,0.0,-0.0,0.00625,0.034375,0.003125,0.0,0.0,-0.0,0.003125,0.01875,0.0015625,0.0,0.0,-0.0
broad_mlp,40,0.0,0.0,0.00625,0.00625,0.003125,heldout,layer34,34,0.0,0.275,0.0,0.0,0.0,0.0,0.00625,0.06875,0.0,0.0,0.0,-0.0,0.00625,0.034375,0.003125,0.0,0.0,-0.0,0.003125,0.01875,0.0015625,0.0,0.0,-0.0
targeted_mlp,40,0.0,0.0,0.0,0.0,0.0015625,heldout,layer34,34,0.0,0.275,0.0,0.0,0.0,0.0,0.00625,0.06875,0.0,-0.00625,-0.1,1.0,0.00625,0.034375,0.003125,-0.00625,-0.2222222222222222,2.0,0.003125,0.01875,0.0015625,-0.0015625,-0.1,1.0
oracle_layer16,40,0.0,0.0,0.0,0.003125,0.0046875,heldout,layer34,34,0.0,0.275,0.0,0.0,0.0,0.0,0.00625,0.06875,0.0,-0.00625,-0.1,1.0,0.00625,0.034375,0.003125,-0.003125,-0.1111111111111111,1.0,0.003125,0.01875,0.0015625,0.0015624999999999997,0.09999999999999998,-0.9999999999999998
oracle_layer34,40,0.275,0.275,0.06875,0.034375,0.01875,heldout,layer34,34,0.0,0.275,0.0,0.275,1.0,0.0,0.00625,0.06875,0.0,0.0625,1.0,-10.0,0.00625,0.034375,0.003125,0.028125000000000004,1.0,-9.0,0.003125,0.01875,0.0015625,0.015625,1.0,-10.0
oracle_stride,40,0.0,0.0,0.0,0.003125,0.0015625,heldout,layer34,34,0.0,0.275,0.0,0.0,0.0,0.0,0.00625,0.06875,0.0,-0.00625,-0.1,1.0,0.00625,0.034375,0.003125,-0.003125,-0.1111111111111111,1.0,0.003125,0.01875,0.0015625,-0.0015625,-0.1,1.0
