method,horizon,match_uplift_vs_full,match_low_vs_full,delta_over_low
low_native,1,0.0,0.0,0.0
low_native,4,0.05,0.05,0.0
low_native,8,0.025,0.025,0.0
low_native,16,0.0375,0.0375,0.0
identity,1,0.0,0.0,0.0
identity,4,0.0,0.05,-0.05
identity,8,0.0,0.025,-0.025
identity,16,0.0,0.0375,-0.0375
mean_delta,1,0.0,0.0,0.0
mean_delta,4,0.0,0.05,-0.05
mean_delta,8,0.0,0.025,-0.025
mean_delta,16,0.0,0.0375,-0.0375
global_linear,1,0.0,0.0,0.0
global_linear,4,0.0,0.05,-0.05
global_linear,8,0.0,0.025,-0.025
global_linear,16,0.0,0.0375,-0.0375
linear,1,0.0,0.0,0.0
linear,4,0.0,0.05,-0.05
linear,8,0.0,0.025,-0.025
linear,16,0.0,0.0375,-0.0375
lowrank,1,0.0,0.0,0.0
lowrank,4,0.0,0.05,-0.05
lowrank,8,0.0,0.025,-0.025
lowrank,16,0.0,0.0375,-0.0375
mlp,1,0.0,0.0,0.0
mlp,4,0.0,0.05,-0.05
mlp,8,0.0,0.025,-0.025
mlp,16,0.0,0.0375,-0.0375
oracle_full_state,1,0.1,0.0,0.1
oracle_full_state,4,0.025,0.05,-0.025
oracle_full_state,8,0.025,0.025,0.0
oracle_full_state,16,0.01875,0.0375,-0.01875
full_native,1,1.0,0.0,1.0
full_native,4,1.0,0.05,0.95
full_native,8,1.0,0.025,0.975
full_native,16,1.0,0.0375,0.9625
