method,horizon,match_uplift_vs_full,match_low2full_vs_full,match_lownative_vs_full,delta_over_low
low_native,1,0.0,0.0,0.0,0.0
low_native,4,0.00625,0.00625,0.00625,0.0
low_native,8,0.0125,0.003125,0.0125,0.009375000000000001
low_native,16,0.0125,0.009375,0.0125,0.003125000000000001
low_to_full_no_patch,1,0.0,0.0,0.0,0.0
low_to_full_no_patch,4,0.00625,0.00625,0.00625,0.0
low_to_full_no_patch,8,0.003125,0.003125,0.0125,0.0
low_to_full_no_patch,16,0.009375,0.009375,0.0125,0.0
identity,1,0.0,0.0,0.0,0.0
identity,4,0.0125,0.00625,0.00625,0.00625
identity,8,0.0125,0.003125,0.0125,0.009375000000000001
identity,16,0.009375,0.009375,0.0125,0.0
mean_delta,1,0.0,0.0,0.0,0.0
mean_delta,4,0.0125,0.00625,0.00625,0.00625
mean_delta,8,0.0125,0.003125,0.0125,0.009375000000000001
mean_delta,16,0.009375,0.009375,0.0125,0.0
global_linear,1,0.0,0.0,0.0,0.0
global_linear,4,0.00625,0.00625,0.00625,0.0
global_linear,8,0.00625,0.003125,0.0125,0.003125
global_linear,16,0.0109375,0.009375,0.0125,0.0015624999999999997
linear,1,0.0,0.0,0.0,0.0
linear,4,0.0125,0.00625,0.00625,0.00625
linear,8,0.0125,0.003125,0.0125,0.009375000000000001
linear,16,0.009375,0.009375,0.0125,0.0
lowrank,1,0.0,0.0,0.0,0.0
lowrank,4,0.0125,0.00625,0.00625,0.00625
lowrank,8,0.0125,0.003125,0.0125,0.009375000000000001
lowrank,16,0.009375,0.009375,0.0125,0.0
mlp,1,0.0,0.0,0.0,0.0
mlp,4,0.0125,0.00625,0.00625,0.00625
mlp,8,0.015625,0.003125,0.0125,0.0125
mlp,16,0.0140625,0.009375,0.0125,0.004687500000000001
oracle_full_state,1,0.2,0.0,0.0,0.2
oracle_full_state,4,0.05625,0.00625,0.00625,0.05
oracle_full_state,8,0.03125,0.003125,0.0125,0.028125
oracle_full_state,16,0.0234375,0.009375,0.0125,0.0140625
full_native,1,1.0,0.0,0.0,1.0
full_native,4,1.0,0.00625,0.00625,0.99375
full_native,8,1.0,0.003125,0.0125,0.996875
full_native,16,1.0,0.009375,0.0125,0.990625
