method,state_cosine,state_mse,next_token_kl_uplift_vs_full,next_token_top1_uplift_vs_full_offline,cont_match_h1_uplift_vs_full,cont_match_h1_low2full_vs_full,cont_match_h1_lownative_vs_full,delta_h1,cont_match_h4_uplift_vs_full,cont_match_h4_low2full_vs_full,cont_match_h4_lownative_vs_full,delta_h4,cont_match_h8_uplift_vs_full,cont_match_h8_low2full_vs_full,cont_match_h8_lownative_vs_full,delta_h8,cont_match_h16_uplift_vs_full,cont_match_h16_low2full_vs_full,cont_match_h16_lownative_vs_full,delta_h16,prompt_count,next_token_top1_uplift_vs_full_live
low_native,0.5042172998746133,51.35580186843871,11.993638355843723,0.034375,0.0,0.0,0.0,0.0,0.00625,0.00625,0.00625,0.0,0.0125,0.003125,0.0125,0.009375000000000001,0.0125,0.009375,0.0125,0.003125000000000001,40,0.0
low_to_full_no_patch,,,,,0.0,0.0,0.0,0.0,0.00625,0.00625,0.00625,0.0,0.003125,0.003125,0.0125,0.0,0.009375,0.009375,0.0125,0.0,40,0.0
identity,0.5096801799535752,50.185971889495846,15.589524087905884,0.005,0.0,0.0,0.0,0.0,0.0125,0.00625,0.00625,0.00625,0.0125,0.003125,0.0125,0.009375000000000001,0.009375,0.009375,0.0125,0.0,40,0.0
mean_delta,0.8411660301685333,17.092052025794985,15.868300313949584,0.004375,0.0,0.0,0.0,0.0,0.0125,0.00625,0.00625,0.00625,0.0125,0.003125,0.0125,0.009375000000000001,0.009375,0.009375,0.0125,0.0,40,0.0
global_linear,0.9427156615257263,5.081821029186249,16.215000734329223,0.00578125,0.0,0.0,0.0,0.0,0.00625,0.00625,0.00625,0.0,0.00625,0.003125,0.0125,0.003125,0.0109375,0.009375,0.0125,0.0015624999999999997,40,0.0
linear,0.9682425379753112,3.1510053613781928,16.148333320617677,0.00609375,0.0,0.0,0.0,0.0,0.0125,0.00625,0.00625,0.00625,0.0125,0.003125,0.0125,0.009375000000000001,0.009375,0.009375,0.0125,0.0,40,0.0
lowrank,0.8992449402809143,9.912587522268295,16.150451402664185,0.00484375,0.0,0.0,0.0,0.0,0.0125,0.00625,0.00625,0.00625,0.0125,0.003125,0.0125,0.009375000000000001,0.009375,0.009375,0.0125,0.0,40,0.0
mlp,0.9647469592094421,3.352753079533577,16.09676808357239,0.00390625,0.0,0.0,0.0,0.0,0.0125,0.00625,0.00625,0.00625,0.015625,0.003125,0.0125,0.0125,0.0140625,0.009375,0.0125,0.004687500000000001,40,0.0
oracle_full_state,,,,,0.2,0.0,0.0,0.2,0.05625,0.00625,0.00625,0.05,0.03125,0.003125,0.0125,0.028125,0.0234375,0.009375,0.0125,0.0140625,40,0.2
full_native,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.00625,0.00625,0.99375,1.0,0.003125,0.0125,0.996875,1.0,0.009375,0.0125,0.990625,40,1.0
