method,layer,horizon,match_uplift_vs_full,match_low_to_full_no_patch,match_low_to_full_cached,delta_over_low_to_full_no_patch
identity,0,1,0.0,0.0,0.0,0.0
identity,0,4,0.00625,0.00625,0.01875,0.0
identity,0,8,0.009375,0.009375,0.021875,0.0
identity,0,16,0.0125,0.0125,0.0171875,0.0
identity,4,1,0.0,0.0,0.0,0.0
identity,4,4,0.00625,0.00625,0.01875,0.0
identity,4,8,0.009375,0.009375,0.021875,0.0
identity,4,16,0.0125,0.0125,0.0171875,0.0
identity,8,1,0.0,0.0,0.0,0.0
identity,8,4,0.00625,0.00625,0.01875,0.0
identity,8,8,0.009375,0.009375,0.021875,0.0
identity,8,16,0.0125,0.0125,0.0171875,0.0
identity,12,1,0.0,0.0,0.0,0.0
identity,12,4,0.00625,0.00625,0.01875,0.0
identity,12,8,0.009375,0.009375,0.021875,0.0
identity,12,16,0.0125,0.0125,0.0171875,0.0
identity,16,1,0.0,0.0,0.0,0.0
identity,16,4,0.00625,0.00625,0.01875,0.0
identity,16,8,0.009375,0.009375,0.021875,0.0
identity,16,16,0.0125,0.0125,0.0171875,0.0
identity,20,1,0.0,0.0,0.0,0.0
identity,20,4,0.00625,0.00625,0.01875,0.0
identity,20,8,0.009375,0.009375,0.021875,0.0
identity,20,16,0.0125,0.0125,0.0171875,0.0
identity,24,1,0.0,0.0,0.0,0.0
identity,24,4,0.00625,0.00625,0.01875,0.0
identity,24,8,0.009375,0.009375,0.021875,0.0
identity,24,16,0.0125,0.0125,0.0171875,0.0
identity,28,1,0.0,0.0,0.0,0.0
identity,28,4,0.00625,0.00625,0.01875,0.0
identity,28,8,0.009375,0.009375,0.021875,0.0
identity,28,16,0.0125,0.0125,0.0171875,0.0
identity,32,1,0.0,0.0,0.0,0.0
identity,32,4,0.00625,0.00625,0.01875,0.0
identity,32,8,0.009375,0.009375,0.021875,0.0
identity,32,16,0.0125,0.0125,0.0171875,0.0
identity,34,1,0.0,0.0,0.0,0.0
identity,34,4,0.00625,0.00625,0.01875,0.0
identity,34,8,0.009375,0.009375,0.021875,0.0
identity,34,16,0.0125,0.0125,0.0171875,0.0
mlp,0,1,0.025,0.0,0.0,0.025
mlp,0,4,0.00625,0.00625,0.01875,0.0
mlp,0,8,0.00625,0.009375,0.021875,-0.0031249999999999993
mlp,0,16,0.0078125,0.0125,0.0171875,-0.004687500000000001
mlp,4,1,0.05,0.0,0.0,0.05
mlp,4,4,0.025,0.00625,0.01875,0.018750000000000003
mlp,4,8,0.015625,0.009375,0.021875,0.00625
mlp,4,16,0.0203125,0.0125,0.0171875,0.0078125
mlp,8,1,0.0,0.0,0.0,0.0
mlp,8,4,0.00625,0.00625,0.01875,0.0
mlp,8,8,0.003125,0.009375,0.021875,-0.0062499999999999995
mlp,8,16,0.009375,0.0125,0.0171875,-0.003125000000000001
mlp,12,1,0.025,0.0,0.0,0.025
mlp,12,4,0.025,0.00625,0.01875,0.018750000000000003
mlp,12,8,0.0125,0.009375,0.021875,0.003125000000000001
mlp,12,16,0.0109375,0.0125,0.0171875,-0.0015625000000000014
mlp,16,1,0.0,0.0,0.0,0.0
mlp,16,4,0.0125,0.00625,0.01875,0.00625
mlp,16,8,0.021875,0.009375,0.021875,0.012499999999999999
mlp,16,16,0.0171875,0.0125,0.0171875,0.004687500000000001
mlp,20,1,0.0,0.0,0.0,0.0
mlp,20,4,0.00625,0.00625,0.01875,0.0
mlp,20,8,0.00625,0.009375,0.021875,-0.0031249999999999993
