method,layer,prompt_count,next_token_top1_uplift_vs_full_live,cont_match_h1_uplift_vs_full,cont_match_h4_uplift_vs_full,cont_match_h8_uplift_vs_full,cont_match_h16_uplift_vs_full,residual_cosine_low_vs_full_layer,residual_mse_low_vs_full_layer,cont_match_h1_low_to_full_no_patch,cont_match_h1_low_native,delta_h1,cont_match_h4_low_to_full_no_patch,cont_match_h4_low_native,delta_h4,cont_match_h8_low_to_full_no_patch,cont_match_h8_low_native,delta_h8,cont_match_h16_low_to_full_no_patch,cont_match_h16_low_native,delta_h16,cont_match_h1_low_to_full_cached,cont_match_h4_low_to_full_cached,cont_match_h8_low_to_full_cached,cont_match_h16_low_to_full_cached,group_name,layers
identity,0,40,0.0,0.0,0.00625,0.009375,0.0125,0.80068359375,15.071875,0.0,0.0,0.0,0.00625,0.01875,0.0,0.009375,0.015625,0.0,0.0125,0.025,0.0,0.0,0.01875,0.021875,0.0171875,,
identity,4,40,0.0,0.0,0.00625,0.009375,0.0125,0.514697265625,13.7578125,0.0,0.0,0.0,0.00625,0.01875,0.0,0.009375,0.015625,0.0,0.0125,0.025,0.0,0.0,0.01875,0.021875,0.0171875,,
identity,8,40,0.0,0.0,0.00625,0.009375,0.0125,0.6783203125,31.221875,0.0,0.0,0.0,0.00625,0.01875,0.0,0.009375,0.015625,0.0,0.0125,0.025,0.0,0.0,0.01875,0.021875,0.0171875,,
identity,12,40,0.0,0.0,0.00625,0.009375,0.0125,0.57861328125,65.9,0.0,0.0,0.0,0.00625,0.01875,0.0,0.009375,0.015625,0.0,0.0125,0.025,0.0,0.0,0.01875,0.021875,0.0171875,,
identity,16,40,0.0,0.0,0.00625,0.009375,0.0125,0.456005859375,43.975,0.0,0.0,0.0,0.00625,0.01875,0.0,0.009375,0.015625,0.0,0.0125,0.025,0.0,0.0,0.01875,0.021875,0.0171875,,
identity,20,40,0.0,0.0,0.00625,0.009375,0.0125,0.327880859375,75.5875,0.0,0.0,0.0,0.00625,0.01875,0.0,0.009375,0.015625,0.0,0.0125,0.025,0.0,0.0,0.01875,0.021875,0.0171875,,
identity,24,40,0.0,0.0,0.00625,0.009375,0.0125,0.5171875,46.8375,0.0,0.0,0.0,0.00625,0.01875,0.0,0.009375,0.015625,0.0,0.0125,0.025,0.0,0.0,0.01875,0.021875,0.0171875,,
identity,28,40,0.0,0.0,0.00625,0.009375,0.0125,0.44091796875,42.84375,0.0,0.0,0.0,0.00625,0.01875,0.0,0.009375,0.015625,0.0,0.0125,0.025,0.0,0.0,0.01875,0.021875,0.0171875,,
identity,32,40,0.0,0.0,0.00625,0.009375,0.0125,0.3384765625,82.9375,0.0,0.0,0.0,0.00625,0.01875,0.0,0.009375,0.015625,0.0,0.0125,0.025,0.0,0.0,0.01875,0.021875,0.0171875,,
identity,34,40,0.0,0.0,0.00625,0.009375,0.0125,0.3548095703125,59.25625,0.0,0.0,0.0,0.00625,0.01875,0.0,0.009375,0.015625,0.0,0.0125,0.025,0.0,0.0,0.01875,0.021875,0.0171875,,
