site,span,method,prompt_count,mean_match_h1,mean_no_patch_h1,mean_oracle_h1,mean_delta_h1,mean_closure_h1,mean_headroom_h1,mean_match_h4,mean_no_patch_h4,mean_oracle_h4,mean_delta_h4,mean_closure_h4,mean_headroom_h4,mean_match_h8,mean_no_patch_h8,mean_oracle_h8,mean_delta_h8,mean_closure_h8,mean_headroom_h8,mean_match_h16,mean_no_patch_h16,mean_oracle_h16,mean_delta_h16,mean_closure_h16,mean_headroom_h16
layer16,1,low_to_full_no_patch,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
layer16,1,identity,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
layer16,1,mlp,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
layer16,1,oracle,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
layer16,4,low_to_full_no_patch,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
layer16,4,identity,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
layer16,4,mlp,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
layer16,4,oracle,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
layer16,8,low_to_full_no_patch,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
layer16,8,identity,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
layer16,8,mlp,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
layer16,8,oracle,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
layer34,1,low_to_full_no_patch,2,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.125,0.0,0.0,0.125,0.0,0.0,0.0625,0.0,0.0,0.0625,0.0,0.0,0.03125,0.0,0.0,0.03125
layer34,1,identity,2,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.125,0.0,0.0,0.125,0.0,0.0,0.0625,0.0,0.0,0.0625,0.0,0.0,0.03125,0.0,0.0,0.03125
layer34,1,mlp,2,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.125,0.0,0.0,0.125,0.0,0.0,0.0625,0.0,0.0,0.0625,0.0,0.0,0.03125,0.0,0.0,0.03125
layer34,1,oracle,2,0.5,0.0,0.5,0.5,0.5,0.5,0.125,0.0,0.125,0.125,0.5,0.125,0.0625,0.0,0.0625,0.0625,0.5,0.0625,0.03125,0.0,0.03125,0.03125,0.5,0.03125
layer34,4,low_to_full_no_patch,2,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.125,0.0,0.0,0.125,0.0,0.0,0.0625,0.0,0.0,0.0625,0.0,0.0,0.03125,0.0,0.0,0.03125
layer34,4,identity,2,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.125,0.0,0.0,0.125,0.0,0.0,0.0625,0.0,0.0,0.0625,0.0,0.0,0.03125,0.0,0.0,0.03125
layer34,4,mlp,2,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.125,0.0,0.0,0.125,0.0,0.0,0.0625,0.0,0.0,0.0625,0.0,0.0,0.03125,0.0,0.0,0.03125
layer34,4,oracle,2,0.5,0.0,0.5,0.5,0.5,0.5,0.125,0.0,0.125,0.125,0.5,0.125,0.0625,0.0,0.0625,0.0625,0.5,0.0625,0.03125,0.0,0.03125,0.03125,0.5,0.03125
layer34,8,low_to_full_no_patch,2,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.125,0.0,0.0,0.125,0.0,0.0,0.0625,0.0,0.0,0.0625,0.0,0.0,0.03125,0.0,0.0,0.03125
layer34,8,identity,2,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.125,0.0,0.0,0.125,0.0,0.0,0.0625,0.0,0.0,0.0625,0.0,0.0,0.03125,0.0,0.0,0.03125
layer34,8,mlp,2,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.125,0.0,0.0,0.125,0.0,0.0,0.0625,0.0,0.0,0.0625,0.0,0.0,0.03125,0.0,0.0,0.03125
layer34,8,oracle,2,0.5,0.0,0.5,0.5,0.5,0.5,0.125,0.0,0.125,0.125,0.5,0.125,0.0625,0.0,0.0625,0.0625,0.5,0.0625,0.03125,0.0,0.03125,0.03125,0.5,0.03125
stride,1,low_to_full_no_patch,2,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.125,0.0,0.0,0.125,0.0,0.0,0.0625,0.0,0.0,0.0625,0.0,0.0,0.03125,0.0,0.0,0.03125
stride,1,identity,2,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.125,0.0,0.0,0.125,0.0,0.0,0.0625,0.0,0.0,0.0625,0.0,0.0,0.03125,0.0,0.0,0.03125
stride,1,mlp,2,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.125,0.0,0.0,0.125,0.0,0.0,0.0625,0.0,0.0,0.0625,0.0,0.0,0.03125,0.0,0.0,0.03125
stride,1,oracle,2,0.5,0.0,0.5,0.5,0.5,0.5,0.125,0.0,0.125,0.125,0.5,0.125,0.0625,0.0,0.0625,0.0625,0.5,0.0625,0.03125,0.0,0.03125,0.03125,0.5,0.03125
stride,4,low_to_full_no_patch,2,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.125,0.0,0.0,0.125,0.0,0.0,0.0625,0.0,0.0,0.0625,0.0,0.0,0.03125,0.0,0.0,0.03125
stride,4,identity,2,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.125,0.0,0.0,0.125,0.0,0.0,0.0625,0.0,0.0,0.0625,0.0,0.0,0.03125,0.0,0.0,0.03125
stride,4,mlp,2,0.0,0.0,0.5,0.0,0.0,0.5,0.125,0.0,0.125,0.125,0.5,0.125,0.0625,0.0,0.0625,0.0625,0.5,0.0625,0.03125,0.0,0.03125,0.03125,0.5,0.03125
stride,4,oracle,2,0.5,0.0,0.5,0.5,0.5,0.5,0.125,0.0,0.125,0.125,0.5,0.125,0.0625,0.0,0.0625,0.0625,0.5,0.0625,0.03125,0.0,0.03125,0.03125,0.5,0.03125
stride,8,low_to_full_no_patch,2,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.125,0.0,0.0,0.125,0.0,0.0,0.0625,0.0,0.0,0.0625,0.0,0.0,0.03125,0.0,0.0,0.03125
stride,8,identity,2,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.125,0.0,0.0,0.125,0.0,0.0,0.0625,0.0,0.0,0.0625,0.0,0.0,0.03125,0.0,0.0,0.03125
stride,8,mlp,2,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.125,0.0,0.0,0.125,0.0,0.0,0.0625,0.0,0.0,0.0625,0.0,0.0,0.03125,0.0,0.0,0.03125
stride,8,oracle,2,0.5,0.0,0.5,0.5,0.5,0.5,0.125,0.0,0.125,0.125,0.5,0.125,0.0625,0.0,0.0625,0.0625,0.5,0.0625,0.03125,0.0,0.03125,0.03125,0.5,0.03125
