site,span,method,prompt_count,mean_match_h1,mean_no_patch_h1,mean_oracle_h1,mean_delta_h1,mean_closure_h1,mean_headroom_h1,mean_match_h4,mean_no_patch_h4,mean_oracle_h4,mean_delta_h4,mean_closure_h4,mean_headroom_h4,mean_match_h8,mean_no_patch_h8,mean_oracle_h8,mean_delta_h8,mean_closure_h8,mean_headroom_h8,mean_match_h16,mean_no_patch_h16,mean_oracle_h16,mean_delta_h16,mean_closure_h16,mean_headroom_h16,ratio_closure_h1,ratio_oracle_headroom_h1,ratio_closure_h4,ratio_oracle_headroom_h4,ratio_closure_h8,ratio_oracle_headroom_h8,ratio_closure_h16,ratio_oracle_headroom_h16
layer16,1,low_to_full_no_patch,40,0.0,0.0,0.0,0.0,0.0,0.0,0.00625,0.00625,0.0125,0.0,0.0,0.00625,0.009375,0.009375,0.021875,0.0,0.0,0.012499999999999999,0.0125,0.0125,0.0171875,0.0,0.0,0.004687500000000001,0.0,0.0,0.0,0.00625,0.0,0.012499999999999999,0.0,0.004687500000000001
layer16,1,identity,40,0.0,0.0,0.0,0.0,0.0,0.0,0.00625,0.00625,0.0125,0.0,0.0,0.00625,0.009375,0.009375,0.021875,0.0,0.0,0.012499999999999999,0.0125,0.0125,0.0171875,0.0,0.0,0.004687500000000001,0.0,0.0,0.0,0.00625,0.0,0.012499999999999999,0.0,0.004687500000000001
layer16,1,mlp,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0125,0.00625,0.0125,0.00625,0.0,0.00625,0.021875,0.009375,0.021875,0.0125,0.0875,0.012499999999999999,0.0171875,0.0125,0.0171875,0.0046875,0.16666666666666666,0.004687500000000001,0.0,0.0,1.0,0.00625,1.0,0.012499999999999999,1.0,0.004687500000000001
layer16,1,oracle,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0125,0.00625,0.0125,0.00625,0.025,0.00625,0.021875,0.009375,0.021875,0.0125,0.15,0.012499999999999999,0.0171875,0.0125,0.0171875,0.0046875,0.225,0.004687500000000001,0.0,0.0,1.0,0.00625,1.0,0.012499999999999999,1.0,0.004687500000000001
layer16,4,low_to_full_no_patch,40,0.0,0.0,0.0,0.0,0.0,0.0,0.00625,0.00625,0.0125,0.0,0.0,0.00625,0.009375,0.009375,0.021875,0.0,0.0,0.012499999999999999,0.0125,0.0125,0.0171875,0.0,0.0,0.004687500000000001,0.0,0.0,0.0,0.00625,0.0,0.012499999999999999,0.0,0.004687500000000001
layer16,4,identity,40,0.0,0.0,0.0,0.0,0.0,0.0,0.00625,0.00625,0.0125,0.0,0.0,0.00625,0.009375,0.009375,0.021875,0.0,0.0,0.012499999999999999,0.0125,0.0125,0.0171875,0.0,0.0,0.004687500000000001,0.0,0.0,0.0,0.00625,0.0,0.012499999999999999,0.0,0.004687500000000001
layer16,4,mlp,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0125,0.00625,0.0125,0.00625,0.0,0.00625,0.021875,0.009375,0.021875,0.0125,0.0875,0.012499999999999999,0.0171875,0.0125,0.0171875,0.0046875,0.16666666666666666,0.004687500000000001,0.0,0.0,1.0,0.00625,1.0,0.012499999999999999,1.0,0.004687500000000001
layer16,4,oracle,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0125,0.00625,0.0125,0.00625,0.025,0.00625,0.021875,0.009375,0.021875,0.0125,0.15,0.012499999999999999,0.0171875,0.0125,0.0171875,0.0046875,0.225,0.004687500000000001,0.0,0.0,1.0,0.00625,1.0,0.012499999999999999,1.0,0.004687500000000001
layer16,8,low_to_full_no_patch,40,0.0,0.0,0.0,0.0,0.0,0.0,0.00625,0.00625,0.0125,0.0,0.0,0.00625,0.009375,0.009375,0.021875,0.0,0.0,0.012499999999999999,0.0125,0.0125,0.0171875,0.0,0.0,0.004687500000000001,0.0,0.0,0.0,0.00625,0.0,0.012499999999999999,0.0,0.004687500000000001
layer16,8,identity,40,0.0,0.0,0.0,0.0,0.0,0.0,0.00625,0.00625,0.0125,0.0,0.0,0.00625,0.009375,0.009375,0.021875,0.0,0.0,0.012499999999999999,0.0125,0.0125,0.0171875,0.0,0.0,0.004687500000000001,0.0,0.0,0.0,0.00625,0.0,0.012499999999999999,0.0,0.004687500000000001
layer16,8,mlp,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0125,0.00625,0.0125,0.00625,0.0,0.00625,0.021875,0.009375,0.021875,0.0125,0.0875,0.012499999999999999,0.0171875,0.0125,0.0171875,0.0046875,0.16666666666666666,0.004687500000000001,0.0,0.0,1.0,0.00625,1.0,0.012499999999999999,1.0,0.004687500000000001
layer16,8,oracle,40,0.0,0.0,0.0,0.0,0.0,0.0,0.0125,0.00625,0.0125,0.00625,0.025,0.00625,0.021875,0.009375,0.021875,0.0125,0.15,0.012499999999999999,0.0171875,0.0125,0.0171875,0.0046875,0.225,0.004687500000000001,0.0,0.0,1.0,0.00625,1.0,0.012499999999999999,1.0,0.004687500000000001
layer34,1,low_to_full_no_patch,40,0.0,0.0,0.25,0.0,0.0,0.25,0.00625,0.00625,0.06875,0.0,0.0,0.0625,0.009375,0.009375,0.0375,0.0,0.0,0.028124999999999997,0.0125,0.0125,0.028125,0.0,0.0,0.015625,0.0,0.25,0.0,0.0625,0.0,0.028124999999999997,0.0,0.015625
layer34,1,identity,40,0.0,0.0,0.25,0.0,0.0,0.25,0.00625,0.00625,0.06875,0.0,0.0,0.0625,0.009375,0.009375,0.0375,0.0,0.0,0.028124999999999997,0.0125,0.0125,0.028125,0.0,0.0,0.015625,0.0,0.25,0.0,0.0625,0.0,0.028124999999999997,0.0,0.015625
layer34,1,mlp,40,0.0,0.0,0.25,0.0,0.0,0.25,0.00625,0.00625,0.06875,0.0,0.0,0.0625,0.009375,0.009375,0.0375,0.0,0.025,0.028124999999999997,0.0109375,0.0125,0.028125,-0.0015625,0.05,0.015625,0.0,0.25,0.0,0.0625,0.0,0.028124999999999997,-0.10000000000000009,0.015625
layer34,1,oracle,40,0.25,0.0,0.25,0.25,0.25,0.25,0.06875,0.00625,0.06875,0.0625,0.25,0.0625,0.0375,0.009375,0.0375,0.028125,0.325,0.028124999999999997,0.028125,0.0125,0.028125,0.015625,0.425,0.015625,1.0,0.25,1.0,0.0625,1.0,0.028124999999999997,1.0,0.015625
layer34,4,low_to_full_no_patch,40,0.0,0.0,0.25,0.0,0.0,0.25,0.00625,0.00625,0.06875,0.0,0.0,0.0625,0.009375,0.009375,0.0375,0.0,0.0,0.028124999999999997,0.0125,0.0125,0.028125,0.0,0.0,0.015625,0.0,0.25,0.0,0.0625,0.0,0.028124999999999997,0.0,0.015625
layer34,4,identity,40,0.0,0.0,0.25,0.0,0.0,0.25,0.00625,0.00625,0.06875,0.0,0.0,0.0625,0.009375,0.009375,0.0375,0.0,0.0,0.028124999999999997,0.0125,0.0125,0.028125,0.0,0.0,0.015625,0.0,0.25,0.0,0.0625,0.0,0.028124999999999997,0.0,0.015625
layer34,4,mlp,40,0.0,0.0,0.25,0.0,0.0,0.25,0.00625,0.00625,0.06875,0.0,0.0,0.0625,0.009375,0.009375,0.0375,0.0,0.025,0.028124999999999997,0.0109375,0.0125,0.028125,-0.0015625,0.05,0.015625,0.0,0.25,0.0,0.0625,0.0,0.028124999999999997,-0.10000000000000009,0.015625
layer34,4,oracle,40,0.25,0.0,0.25,0.25,0.25,0.25,0.06875,0.00625,0.06875,0.0625,0.25,0.0625,0.0375,0.009375,0.0375,0.028125,0.325,0.028124999999999997,0.028125,0.0125,0.028125,0.015625,0.425,0.015625,1.0,0.25,1.0,0.0625,1.0,0.028124999999999997,1.0,0.015625
layer34,8,low_to_full_no_patch,40,0.0,0.0,0.25,0.0,0.0,0.25,0.00625,0.00625,0.06875,0.0,0.0,0.0625,0.009375,0.009375,0.0375,0.0,0.0,0.028124999999999997,0.0125,0.0125,0.028125,0.0,0.0,0.015625,0.0,0.25,0.0,0.0625,0.0,0.028124999999999997,0.0,0.015625
layer34,8,identity,40,0.0,0.0,0.25,0.0,0.0,0.25,0.00625,0.00625,0.06875,0.0,0.0,0.0625,0.009375,0.009375,0.0375,0.0,0.0,0.028124999999999997,0.0125,0.0125,0.028125,0.0,0.0,0.015625,0.0,0.25,0.0,0.0625,0.0,0.028124999999999997,0.0,0.015625
layer34,8,mlp,40,0.0,0.0,0.25,0.0,0.0,0.25,0.00625,0.00625,0.06875,0.0,0.0,0.0625,0.009375,0.009375,0.0375,0.0,0.025,0.028124999999999997,0.0109375,0.0125,0.028125,-0.0015625,0.05,0.015625,0.0,0.25,0.0,0.0625,0.0,0.028124999999999997,-0.10000000000000009,0.015625
layer34,8,oracle,40,0.25,0.0,0.25,0.25,0.25,0.25,0.06875,0.00625,0.06875,0.0625,0.25,0.0625,0.0375,0.009375,0.0375,0.028125,0.325,0.028124999999999997,0.028125,0.0125,0.028125,0.015625,0.425,0.015625,1.0,0.25,1.0,0.0625,1.0,0.028124999999999997,1.0,0.015625
stride,1,low_to_full_no_patch,40,0.0,0.0,0.2,0.0,0.0,0.2,0.00625,0.00625,0.08125,0.0,0.0,0.075,0.009375,0.009375,0.046875,0.0,0.0,0.0375,0.0125,0.0125,0.03125,0.0,0.0,0.01875,0.0,0.2,0.0,0.075,0.0,0.0375,0.0,0.01875
stride,1,identity,40,0.0,0.0,0.2,0.0,0.0,0.2,0.00625,0.00625,0.08125,0.0,0.0,0.075,0.009375,0.009375,0.046875,0.0,0.0,0.0375,0.0125,0.0125,0.03125,0.0,0.0,0.01875,0.0,0.2,0.0,0.075,0.0,0.0375,0.0,0.01875
stride,1,mlp,40,0.0,0.0,0.2,0.0,0.0,0.2,0.0,0.00625,0.08125,-0.00625,0.0,0.075,0.003125,0.009375,0.046875,-0.00625,0.025,0.0375,0.0078125,0.0125,0.03125,-0.0046875,0.1,0.01875,0.0,0.2,-0.08333333333333334,0.075,-0.16666666666666666,0.0375,-0.25000000000000006,0.01875
stride,1,oracle,40,0.2,0.0,0.2,0.2,0.2,0.2,0.08125,0.00625,0.08125,0.075,0.3,0.075,0.046875,0.009375,0.046875,0.0375,0.35,0.0375,0.03125,0.0125,0.03125,0.01875,0.5,0.01875,1.0,0.2,1.0,0.075,1.0,0.0375,1.0,0.01875
